 ,Area,Mean,Min,Max,X,Y
1,0.000,65535,65535,65535,26730.000,26136.000
2,0.000,65535,65535,65535,26705.250,38486.250
3,0.000,14418,14418,14418,30467.250,33239.250
4,0.000,65535,65535,65535,35120.250,32348.250
5,0.000,65535,65535,65535,36209.250,26111.250
6,0.000,65535,65535,65535,32348.250,18785.250
7,0.000,65535,65535,65535,27101.250,16112.250
8,0.000,65535,65535,65535,17498.250,18785.250
9,0.000,53232,53232,53232,13736.250,25814.250
10,0.000,14181,14181,14181,17894.250,30269.250
11,0.000,59754,59754,59754,18587.250,36704.250
12,0.000,32209,32209,32209,29477.250,45119.250
13,0.000,34690,34690,34690,38882.250,38090.250
14,0.000,38950,38950,38950,44525.250,32051.250
15,0.000,46742,46742,46742,41555.250,24131.250
16,0.000,43863,43863,43863,37397.250,15914.250
17,0.000,47343,47343,47343,32942.250,9083.250
18,0.000,42013,42013,42013,24923.250,9875.250
19,0.000,45146,45146,45146,14132.250,12647.250
20,0.000,20998,20998,20998,4331.250,17795.250
21,0.000,17932,17932,17932,5717.250,28586.250
22,0.000,12396,12396,12396,11459.250,40961.250
23,0.000,15824,15824,15824,18884.250,49673.250
