 ,Area,Mean,Min,Max,X,Y
1,0.000,65535,65535,65535,28809.000,26086.500
2,0.000,58306,58306,58306,18003.729,32061.178
3,0.000,65535,65535,65535,23324.911,44927.317
4,0.000,59238,59238,59238,24119.117,35476.264
5,0.000,62970,62970,62970,27931.306,36985.256
6,0.000,54341,54341,54341,48421.822,31743.494
7,0.000,49210,49210,49210,40320.922,19750.983
8,0.000,60405,60405,60405,33729.011,16971.261
9,0.000,65535,65535,65535,34046.695,8155.573
10,0.000,65535,65535,65535,11650.080,21101.133
11,0.000,60638,60638,60638,17686.047,50486.758
12,0.000,58772,58772,58772,24913.322,53028.222
13,0.000,53408,53408,53408,38891.350,31505.233
14,0.000,56440,56440,56440,29837.400,16256.475
15,0.000,55274,55274,55274,39685.559,2199.027
16,0.000,55040,55040,55040,32378.861,531.194
17,0.000,45245,45245,45245,6170.058,15938.793
18,0.000,49210,49210,49210,35555.686,38017.725
