 ,X,Y,r,u,v,h,k,l,v_rounded,u_rounded,n,lambda_exp,lambda_the,lambda_error
1,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,
2,-0.00299475,0.00829125,0.008815517802432254,1.1770499091733335,-3.2587745419261713,1.0,-7.0,1.0,-3.5,1.0,51.0,4.3644053193163285e-11,2.2039215686274507e-11,98.0290669796555
3,-0.00012375,0.00977625,0.009777033196476322,0.04023058865583738,-3.1782165038111536,0.0,-3.0,1.0,-3.0,0.0,10.0,1.0667248842844315e-10,1.124e-10,5.095650864374413
4,0.00294525,0.00928125,0.009737355859010186,-0.9646022569166823,-3.0397129944853436,-1.0,-3.0,1.0,-3.0,-1.0,11.0,1.0139984826365372e-10,1.021818181818182e-10,0.7652730515844476
5,0.00868725,0.00898425,0.012497402155048064,-1.8225276794279424,-1.884836318040863,-2.0,-2.0,1.0,-2.0,-2.0,9.0,1.3351849233230094e-10,1.2488888888888888e-10,6.909824821237419
6,0.01145925,0.00393525,0.01211612987405632,-2.5381100318041114,-0.8716187798204184,-5.0,-1.0,2.0,-1.0,-2.5,30.0,7.165609979165666e-11,7.493333333333334e-11,4.373532306508022
7,0.01363725,0.00017325,0.013638350454692092,-2.459405297763277,-0.031244713401711324,-5.0,0.0,2.0,0.0,-2.5,29.0,7.861103501727033e-11,7.751724137931036e-11,1.411032718008849
8,0.01294425,-0.00418275,0.013603271872053428,-2.3447703888523,0.7576791505086783,-5.0,1.0,2.0,1.0,-2.5,30.0,7.716738146064804e-11,7.493333333333334e-11,2.9813809528221107
9,0.01136025,-0.01131075,0.016030856047791083,-1.5597191369657175,1.5529229751488736,-3.0,3.0,2.0,1.5,-1.5,22.0,9.912631457963508e-11,1.0218181818181817e-10,2.9902615323855843
10,0.00680625,-0.01022175,0.012280440225211797,-1.4723174177551404,2.211153067392265,-3.0,2.0,2.0,2.0,-1.5,17.0,9.604116512951544e-11,1.3223529411764707e-10,27.3710050177152
11,0.00710325,-0.00705375,0.010010571893003917,-2.2123008572681915,2.1968841265555215,-2.0,2.0,1.0,2.0,-2.0,9.0,1.144289776551464e-10,1.2488888888888888e-10,8.375373763672803
12,0.01007325,-0.00675675,0.012129469737997618,-2.2268178486312893,1.4936640606298326,-2.0,3.0,1.0,1.5,-2.0,14.0,1.0497042837652221e-10,8.028571428571429e-11,30.74608516648673
