 ,X,Y,r,u,v,h,k,l,v_rounded,u_rounded,lambda_exp,lambda_the,lambda_error
1,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,
2,-0.014671372,0.007861195,0.016644745212541074,1.9808999544162804,-1.061403174642255,2.0,-1.0,1.0,-1.0,2.0,1.8654927698135313e-10,1.8733333333333338e-10,0.41853541920653964
3,-0.011653388999999998,0.012070486000000005,0.016777905335932642,1.5526439396747862,-1.6082160251261983,3.0,-3.0,2.0,-1.5,1.5,9.785560400143274e-11,1.0218181818181817e-10,4.233839500377203
4,-0.006332207999999999,0.013341217000000004,0.014767698845668309,1.0467181588958727,-2.205311969485261,1.0,-2.0,1.0,-2.0,1.0,1.7394688278028485e-10,1.8733333333333338e-10,7.145792110168256
5,0.0002597029999999977,0.016676880999999994,0.01667890300758326,-0.034944815497813066,-2.2439884391939606,0.0,-2.0,1.0,-2.0,0.0,2.0458854945647274e-10,2.248e-10,8.99085878270785
6,0.006613349999999999,0.013023532999999995,0.014606464665503041,-1.1139622123820965,-2.1937026822580443,-1.0,-2.0,1.0,-2.0,-1.0,1.7278110792562562e-10,1.8733333333333338e-10,7.76809185464827
7,0.011616849999999998,0.011593961000000003,0.016412529835221047,-1.605766393168686,-1.6026025073499632,-3.0,-3.0,2.0,-1.5,-1.5,9.665619734850076e-11,1.0218181818181817e-10,5.407636046840883
8,0.014396572,0.007225828000000001,0.01610819281101291,-2.0534944969400253,-1.030675777111048,-2.0,-1.0,1.0,-1.0,-2.0,1.8312214738201924e-10,1.8733333333333338e-10,2.2479640309506097
9,0.020670800000000003,0.0003956560000000027,0.020674586242784548,-1.9606414724802086,-0.03752827962321897,-2.0,0.0,1.0,0.0,-2.0,2.2835523041844203e-10,2.248e-10,1.5815081932571362
10,0.017891078,-0.008499453,0.0198073565450136,-1.8170625634931483,0.8632256735155662,-2.0,1.0,1.0,1.0,-2.0,2.0425815990761569e-10,1.8733333333333338e-10,9.034604932890906
11,0.016143824999999997,-0.015488466999999999,0.02237220810829172,-1.352600411077306,1.2976916456389542,-3.0,3.0,2.0,1.5,-1.5,1.1279678802248285e-10,1.0218181818181817e-10,10.388315680365798
12,0.010107858,-0.019618339,0.022069164426119194,-0.8650856598290709,1.6790445353076184,-1.0,3.0,1.0,1.5,-1.0,1.5857242210716307e-10,1.021818181818182e-10,55.18653409064
13,0.00010086100000000078,-0.025971988,0.025972183843748393,-0.006727398385093117,1.732323793427157,0.0,3.0,1.0,1.5,0.0,1.7769799389963283e-10,1.124e-10,58.09430062244915
14,-0.009985555,-0.020015441999999998,0.022368040305609897,0.8368762803336562,1.6774679674984552,1.0,3.0,1.0,1.5,1.0,1.5950586295814536e-10,1.021818181818182e-10,56.10004382024899
15,-0.016339206,-0.016044412,0.022899624650552244,1.320335622466563,1.2965139618859078,3.0,3.0,2.0,1.5,1.5,1.1392942261990862e-10,1.0218181818181817e-10,11.496765909163253
16,-0.018404142,-0.008896555,0.02044165192992457,1.777369767370807,0.8591798460776705,2.0,1.0,1.0,1.0,2.0,2.0735537102871766e-10,1.8733333333333338e-10,10.687920477963134
17,-0.021025022,0.00047507500000000075,0.02103038864015853,1.9410621054713542,-0.04385964874409192,2.0,0.0,1.0,0.0,2.0,2.3016445026939572e-10,2.248e-10,2.3863212942151844
18,-0.025790258,0.009370182999999997,0.027439710952560214,1.5849474099834104,-0.5758471775241868,3.0,-1.0,2.0,-0.5,1.5,1.5322509855934933e-10,1.6057142857142859e-10,4.575116555565375
19,-0.020548498,0.021839219000000003,0.02998653458781066,1.1089926171272677,-1.178652212673917,1.0,-1.0,1.0,-1.0,1.0,3.4111926905455635e-10,3.746666666666667e-10,8.953931747004544
20,-0.007126414000000001,0.022633425000000002,0.023728836965389206,0.5451510677279573,-1.7313947526891704,1.0,-3.0,2.0,-1.5,0.5,1.449522234926928e-10,1.6057142857142859e-10,9.727262949390607
21,0.007486977999999996,0.022395164000000006,0.023613517530418467,-0.5770329792031513,-1.7260299419422862,-1.0,-3.0,2.0,-1.5,-0.5,1.446623593600941e-10,1.6057142857142859e-10,9.907783316667384
22,0.025197772000000004,0.008734818999999996,0.026668797811801436,-1.6154706128618412,-0.5600036147309868,-3.0,-1.0,2.0,-0.5,-1.5,1.5166096075830465e-10,1.6057142857142859e-10,5.549223727034478
23,0.012728739000000001,7.797200000000158e-05,0.012728977812963027,-2.7238910031817816,-0.016685645710866892,-5.0,0.0,2.0,0.0,-2.5,7.193079518752136e-11,7.751724137931036e-11,7.206714393322114
24,-0.013003540000000001,0.00015739200000000346,0.01300449248426343,2.679829540171355,-0.0324360697922765,5.0,0.0,2.0,0.0,2.5,7.296646130868583e-11,7.751724137931036e-11,5.870668240574356
