 ,X,Y,r,u,v,h,k,l,v_rounded,u_rounded,lambda_exp,lambda_the,lambda_error
1,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,
2,-0.004589781000000003,0.016140517,0.016780416522102482,0.6113688071135478,-2.1499519529332516,1.0,-2.0,2.0,-2.0,0.5,1.530072052187386e-10,2.4977777777777776e-10,38.742666949793254
3,0.0027169170000000014,0.014234421999999998,0.014491390811753473,-0.4639018533666193,-2.4304661303243993,-1.0,-5.0,2.0,-2.5,-0.5,7.689416793943763e-11,7.493333333333334e-11,2.6167721611712076
4,0.007720417000000001,0.014234421999999998,0.01619331986740128,-1.0915116278613353,-2.012460872111597,-1.0,-2.0,1.0,-2.0,-1.0,1.8367489622223107e-10,1.8733333333333338e-10,1.9529023724745427
5,0.011691443999999995,0.010978178,0.016037775874628624,-1.6799774414181712,-1.577486184587059,-3.0,-3.0,2.0,-1.5,-1.5,9.539227674762868e-11,1.0218181818181817e-10,6.644569019224591
6,0.012088550000000003,0.0035920579999999974,0.012610944523621697,-2.6297553333954524,-0.7814199125094237,-5.0,-1.0,2.0,-1.0,-2.5,7.027925628910857e-11,7.493333333333334e-11,6.210956909552631
7,-0.01634403,0.003274377999999997,0.016668799234731455,2.20142610032365,-0.44103572934738533,2.0,-1.0,1.0,-0.5,2.0,1.8669979402427802e-10,1.8733333333333338e-10,0.3381882432679887
8,-0.014596778,0.008277875,0.016780618060634984,1.9442836479555463,-1.10260887726867,2.0,-1.0,1.0,-1.0,2.0,1.87396039669347e-10,1.8733333333333338e-10,0.033473133103349394
9,-0.009910961,0.011057599999999999,0.01484916380485854,1.6229343758476173,-1.8106981910606463,3.0,-2.0,2.0,-2.0,1.5,1.0368666321110003e-10,1.3223529411764707e-10,21.589267144630764
10,0.019633505,0.005974678,0.02052245832712809,-1.8842316864311828,-0.5733911292875769,-2.0,-1.0,1.0,-0.5,-2.0,2.0774019740525424e-10,1.8733333333333338e-10,10.893343810633906
11,0.019395244000000006,-0.0033969560000000018,0.01969047485170107,-1.9886282910375725,0.34829584020751836,-2.0,1.0,1.0,0.5,-2.0,2.0367227410456572e-10,1.8733333333333338e-10,8.721854504216548
12,0.01979235,-0.010624231000000001,0.022463557217499215,-1.6478080811273799,0.8845181950381854,-3.0,1.0,2.0,1.0,-1.5,1.4164777573883722e-10,1.6057142857142859e-10,11.785193045208146
