 ,X,Y,r,u,v,h,k,l,v_rounded,u_rounded,lambda_exp,lambda_the,lambda_error
1,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,
2,-0.0001673220000000001,0.019387522000000004,0.01938824401414858,0.017588138312292317,-2.037929372518916,0.0,-2.0,1.0,-2.0,0.0,2.1354755079004819e-10,2.168e-10,1.5002072001622713
3,0.020243777999999997,-0.00014994700000000013,0.020244333326046894,-1.985483536821755,0.014706607625108909,-2.0,0.0,1.0,0.0,-2.0,2.180605188230998e-10,2.168e-10,0.5814201213559964
4,-8.790000000000146e-05,-0.018813792000000003,0.018813997337866935,0.009700142413088461,2.0761827273062727,0.0,2.0,1.0,2.0,0.0,2.1036394491084433e-10,2.168e-10,2.9686600964740113
5,-0.018036958,-7.052799999999843e-05,0.018037095888544474,2.132214915662475,0.008337373384793583,2.0,0.0,1.0,0.0,2.0,2.0584403980487809e-10,2.168e-10,5.053487174871727
6,-0.004058931000000001,0.026138277999999997,0.026451550005019458,0.2634194095305635,-1.6963406761301725,1.0,-3.0,2.0,-1.5,0.5,1.4582561633773273e-10,1.5485714285714287e-10,5.8321665715748106
7,0.0035654470000000002,0.026773639000000002,0.02701000106649628,-0.22430355120278506,-1.6843392445102627,0.0,-3.0,1.0,-1.5,0.0,1.73861992009185e-10,1.0839999999999998e-10,60.38929152138841
8,-0.0004850060000000012,0.034556860999999994,0.0345602643652122,0.021389381539253217,-1.524001527255204,0.0,-3.0,1.0,-1.5,0.0,1.8804492535591614e-10,1.0839999999999998e-10,73.4731783726164
9,0.009283730000000004,-0.009601,0.013355405037395912,-1.8260699549066726,1.8884756059319856,-2.0,2.0,1.0,2.0,-2.0,1.2854953962761513e-10,1.2044444444444443e-10,6.729322569053163
10,0.001977036,-0.010236364999999999,0.01042553786423132,-0.6051100016259215,3.133036951170098,-1.0,3.0,2.0,3.0,-0.5,8.66371172172897e-11,1.5485714285714287e-10,44.0535220921561
11,-0.001993993999999999,-0.009918683000000001,0.010117128274689663,0.6446816984739339,3.2068268024199362,1.0,3.0,2.0,3.0,0.5,8.4700183007344e-11,1.5485714285714287e-10,45.30430986610627
12,-0.008903589,0.008348055,0.012205077605814147,2.0523946127767645,-1.924336703902677,2.0,-2.0,1.0,-2.0,2.0,1.2101458702446989e-10,1.2044444444444443e-10,0.47336561072223876
13,-0.0020734150000000008,0.010095311000000001,0.01030603483154147,0.6480848827242125,-3.1554794604550707,1.0,-3.0,2.0,-3.0,0.5,8.589149293568118e-11,1.5485714285714287e-10,44.53501378692175
14,0.0022152970000000024,0.010333572000000001,0.010568360851020987,-0.6614561930972634,-3.085457704414563,-1.0,-3.0,2.0,-3.0,-0.5,8.752015282149047e-11,1.5485714285714287e-10,43.483296148484015
