 ,X,Y,r,u,v,h,k,l,v_rounded,u_rounded,n,lambda_exp,lambda_the,lambda_error
1,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,
2,-0.02348775,0.00017325,0.023488388953374392,1.9581441777140407,-0.014443634609060363,2.0,0.0,1.0,0.0,2.0,5.0,2.2861454308215885e-10,2.248e-10,1.6968608016720927
3,-0.02616075,0.01324125,0.029320906229600065,1.5486417329812416,-0.7838442073273078,3.0,-1.0,2.0,-1.0,1.5,14.0,1.499628851699849e-10,1.6057142857142859e-10,6.606744111219384
4,-0.02081475,0.02096325,0.029541693724717273,1.2183845730297793,-1.2270769718861154,1.0,-1.0,1.0,-1.0,1.0,3.0,3.248699204025407e-10,3.746666666666667e-10,13.290946511777403
5,-0.01170675,0.02343825,0.0261992282066667,0.8226007538802521,-1.6469406214050712,1.0,-3.0,1.0,-1.5,1.0,11.0,1.6176440048753663e-10,1.021818181818182e-10,58.31035634901271
6,-0.00022275,0.02947725,0.029478091612670586,0.013080795968000793,-1.7310253330987717,0.0,-3.0,1.0,-1.5,0.0,10.0,1.7779514302588216e-10,1.124e-10,58.18073222943254
7,-0.00022275,0.01700325,0.0170047089985392,0.0316183459423185,-2.4135337402636456,0.0,-5.0,1.0,-2.5,0.0,26.0,8.437074575422983e-11,4.323076923076924e-11,95.16364676245331
8,0.01136025,0.02314125,0.025779308206873977,-0.8184634084908095,-1.6672402765553527,-1.0,-3.0,1.0,-1.5,-1.0,11.0,1.6066113302137328e-10,1.021818181818182e-10,57.23064619529411
9,0.01987425,0.02096325,0.028886738542538856,-1.2032011887896652,-1.2691300210521126,-1.0,-3.0,1.0,-1.5,-1.0,11.0,1.6822610673717078e-10,1.021818181818182e-10,64.63409022320981
10,0.02522025,0.01324125,0.028484938329317123,-1.5594862688568285,-0.8187685513625155,-3.0,-1.0,2.0,-1.0,-1.5,14.0,1.4831476363443434e-10,1.6057142857142859e-10,7.633154320192145
11,0.02244825,0.00047025,0.022453174900779624,-2.0109817598300004,-0.04212640952234842,-2.0,0.0,1.0,0.0,-2.0,5.0,2.2377694179069454e-10,2.248e-10,0.45509706819637324
