 ,X,Y,r,u,v,h,k,l,v_rounded,u_rounded,lambda_exp,lambda_the,lambda_error
1,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,
2,-0.0027136049999999996,-0.01311619,0.013393957302161487,0.5048386450124307,2.440133913125011,1.0,5.0,2.0,2.5,0.5,7.643014612996182e-11,7.493333333333334e-11,1.9975259741483269
3,-0.006525796000000002,-0.011289517,0.013039908263745762,1.2715517942817864,2.199763155012006,3.0,2.0,2.0,2.0,1.5,9.983772363849005e-11,1.3223529411764707e-10,24.49994208833048
4,-0.012800025,-0.008271533,0.015240042590843175,1.9120447459623624,1.2355867440652886,2.0,1.0,1.0,1.0,2.0,1.8454635532809428e-10,1.8733333333333338e-10,1.4877106789532566
5,-0.013197128,-0.0014413600000000007,0.01327560567725571,2.49305041159254,0.27228523821645323,5.0,1.0,2.0,0.5,2.5,7.600787884401244e-11,7.493333333333334e-11,1.4340020160308296
6,-0.013435388999999999,0.0030061939999999994,0.013767602548990036,2.384127772757805,-0.5334531516503078,5.0,-1.0,2.0,-0.5,2.5,7.773771071122423e-11,7.493333333333334e-11,3.74249650074407
7,-0.010576246999999999,0.006262438999999998,0.012291262865699763,2.284309876295956,-1.352592394769238,5.0,-3.0,2.0,-1.5,2.5,6.42749756868908e-11,5.915789473684212e-11,8.649869933356321
8,-0.007002319,0.011027677999999999,0.01306300705999369,1.3602277030633447,-2.1421693464782416,3.0,-2.0,2.0,-2.0,1.5,9.994967631350616e-11,1.3223529411764707e-10,24.415280367900145
9,-0.0010457720000000008,0.010312888999999995,0.010365776314502686,0.3057994606944164,-3.015643844357446,1.0,-3.0,2.0,-3.0,0.5,9.411652879393653e-11,1.6057142857142859e-10,41.3865034201463
10,0.0023693110000000015,0.010312888999999995,0.010581555374378661,-0.6675893521357592,-2.9058130765264627,-1.0,-3.0,2.0,-3.0,-0.5,9.552493896608221e-11,1.6057142857142859e-10,40.509379647457706
11,0.004831349999999998,0.008247955999999999,0.009558803324707333,-1.6366293598821005,-2.7940113940442592,-3.0,-3.0,2.0,-3.0,-1.5,7.071123540121797e-11,1.0218181818181817e-10,30.798613041512652
12,0.009040644,0.0057859170000000015,0.010733595831110143,-2.4829107850438445,-1.5890367678086348,-5.0,-3.0,2.0,-1.5,-2.5,5.857539528482173e-11,5.915789473684212e-11,0.9846520986109657
13,0.009199483,0.0011000999999999986,0.009265026037593688,-3.299538436703223,-0.39456806803352,-7.0,-1.0,2.0,-0.5,-3.5,4.4076653965136384e-11,4.1629629629629624e-11,5.87808336821019
14,0.009993692000000002,-0.0020767249999999985,0.010207187003111535,-3.004812084649335,0.6244107159289464,-3.0,1.0,1.0,0.5,-3.0,1.0499326540812481e-10,1.021818181818182e-10,2.7514163246772916
15,0.008802383000000002,-0.005015287,0.010130895822732461,-2.682785990178523,1.5285567215519333,-5.0,3.0,2.0,1.5,-2.5,5.617996136103919e-11,5.915789473684212e-11,5.033873144150854
16,0.006975707999999999,-0.010495309999999999,0.012602064675971313,-1.4423184150097155,2.170041934701914,-3.0,2.0,2.0,2.0,-1.5,9.767666874718442e-11,1.3223529411764707e-10,26.13419178371285
17,0.0014956860000000015,-0.011845459999999999,0.011939514195401586,-0.33994543381886316,2.692283031655031,-1.0,5.0,2.0,2.5,-0.5,7.095776839964303e-11,7.493333333333334e-11,5.305469217558239
18,0.014361824999999996,0.0037209779999999994,0.014836026914477773,-2.2444847669525148,-0.5815193012841637,-2.0,-1.0,1.0,-0.5,-2.0,1.8172753496000707e-10,1.8733333333333338e-10,2.9924190604944756
19,0.009437747000000003,0.011742461000000003,0.015065074137638025,-1.4373870227996024,-1.7883993984083741,-3.0,-2.0,2.0,-2.0,-1.5,1.0891814672182845e-10,1.3223529411764707e-10,17.63307409826141
20,0.004116567000000002,0.018175534000000007,0.018635883667018457,-0.44222723878404385,-1.952528943230004,-1.0,-2.0,2.0,-2.0,-0.5,1.6742324273917826e-10,2.4977777777777776e-10,32.97112167915461
21,-0.003984335999999999,0.016507699999999997,0.016981728199770948,0.4975063066230833,-2.0612430422137775,1.0,-2.0,2.0,-2.0,0.5,1.5981310661348547e-10,2.4977777777777776e-10,36.01788436292841
22,0.013170517,-0.010018786,0.01654806910068619,-1.7158582645626475,1.3052499578402692,-3.0,3.0,2.0,1.5,-1.5,1.0083551200674511e-10,1.0218181818181817e-10,1.3175594240038861
