 ,X,Y,r,u,v,h,k,l,v_rounded,u_rounded,n,lambda_exp,lambda_the,lambda_error
1,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,
2,-0.00309375,0.00997425,0.010443033664840883,0.8926305319009796,-2.8778408348487585,1.0,-3.0,1.0,-3.0,1.0,11.0,1.0674965459656208e-10,1.021818181818182e-10,4.470302541119457
3,0.00017325,0.01066725,0.01066865680978632,-0.04810213508862984,-2.96171717474278,0.0,-3.0,1.0,-3.0,0.0,10.0,1.1369158270900478e-10,1.124e-10,1.1490949368369936
4,0.00314325,0.00898425,0.009518233482374763,-1.0730858556447944,-3.067166658260317,-1.0,-3.0,1.0,-3.0,-1.0,11.0,9.968030894362679e-11,1.021818181818182e-10,2.448096229546747
5,0.00759825,0.00759825,0.01074554820030137,-2.0826125883793782,-2.0826125883793782,-2.0,-2.0,1.0,-2.0,-2.0,9.0,1.2045633940740548e-10,1.2488888888888888e-10,3.5491944246753206
6,0.00878625,0.00304425,0.009298690613468113,-3.1304396939939654,-1.0846312179190358,-3.0,-1.0,1.0,-1.0,-3.0,11.0,9.792930418747766e-11,1.021818181818182e-10,4.161712983785222
7,0.01027125,0.00017325,0.010272711040664972,-3.052759655935407,-0.051492331545898426,-3.0,0.0,1.0,0.0,-3.0,10.0,1.1063295986080864e-10,1.124e-10,1.5720997679638404
8,0.00957825,-0.00309375,0.01006549363543587,-2.9536971503293796,0.9540365472640114,-3.0,1.0,1.0,1.0,-3.0,11.0,1.0392288000542832e-10,1.021818181818182e-10,1.7038861263088394
9,0.00898425,-0.00883575,0.012601080355469526,-1.8578635765006128,1.8271550876328342,-2.0,2.0,1.0,2.0,-2.0,9.0,1.3423694780069343e-10,1.2488888888888888e-10,7.485100552156671
10,0.00393525,-0.01111275,0.01178895267294767,-0.9146548521140881,2.5828932616303493,-1.0,5.0,1.0,2.5,-1.0,27.0,7.416046548172367e-11,4.1629629629629624e-11,78.14346690449638
11,0.00027225,-0.01329075,0.013293538115377713,-0.051310709576154835,2.50489554930865,0.0,5.0,1.0,2.5,0.0,26.0,8.171455806417623e-11,4.323076923076924e-11,89.01944036197345
12,-0.00388575,-0.01230075,0.012899903240916189,0.7714407925908497,2.4420769039340913,1.0,5.0,1.0,2.5,1.0,27.0,7.867853484981173e-11,4.1629629629629624e-11,88.99648051111362
13,-0.01081575,-0.01091475,0.015365943369184986,1.5935255038090104,1.6081115496104659,3.0,3.0,2.0,1.5,1.5,22.0,9.68254776009399e-11,1.0218181818181817e-10,5.241970319364854
14,-0.01249875,-0.00418275,0.013180066355106108,2.3907544131007903,0.8000742491367001,5.0,1.0,2.0,1.0,2.5,30.0,7.566411831883529e-11,7.493333333333334e-11,0.9752468667730713
15,-0.01368675,0.00027225,0.013689457462770392,2.4525437228647156,-0.04878477568085329,5.0,0.0,2.0,0.0,2.5,29.0,7.879174567000176e-11,7.751724137931036e-11,1.6441558910164755
16,-0.01160775,0.00403425,0.012288817401401975,2.50797288309609,-0.8716408954043979,5.0,-1.0,2.0,-1.0,2.5,30.0,7.232962583152851e-11,7.493333333333334e-11,3.474698623405015
17,-0.00903375,0.00928125,0.012951843136210383,1.7810187560941357,-1.8298137905076737,2.0,-2.0,1.0,-2.0,2.0,9.0,1.3662463781899995e-10,1.2488888888888888e-10,9.396951990302457
18,-0.00735075,0.01532025,0.016992456727177502,0.9169075635884684,-1.9109958985227675,1.0,-2.0,1.0,-2.0,1.0,6.0,1.9579460419689005e-10,1.8733333333333338e-10,4.516692631791814
19,0.00027225,0.01878525,0.01878722272250478,-0.028870962948426837,-1.9920964434414519,0.0,-2.0,1.0,-2.0,0.0,5.0,2.2549374398423035e-10,2.248e-10,0.30860497519144126
20,0.00690525,0.01343925,0.015109464521451446,-1.0464966313556154,-2.0367300029609288,-1.0,-2.0,1.0,-2.0,-1.0,6.0,1.8364506433972067e-10,1.8733333333333338e-10,1.968826864917816
21,0.01334025,0.00680625,0.014976224795488347,-2.0520588787164784,-1.0469688156716725,-2.0,-1.0,1.0,-1.0,-2.0,6.0,1.8271583819011504e-10,1.8733333333333338e-10,2.464855058657481
22,0.01868625,7.425e-05,0.01868639751597402,-1.9987173095822144,-0.007941923084432638,-2.0,0.0,1.0,0.0,-2.0,5.0,2.2491397124421063e-10,2.248e-10,0.05069895205099524
23,0.01492425,-0.00705375,0.01650722954117377,-1.9522609030718723,0.9227103770737706,-2.0,1.0,1.0,1.0,-2.0,6.0,1.928316219813474e-10,1.8733333333333338e-10,2.9350295274096165
24,0.00878625,-0.01626075,0.01848269946801603,-0.9564387202876952,1.7700851809268048,-1.0,2.0,1.0,2.0,-1.0,6.0,2.042358704470959e-10,1.8733333333333338e-10,9.022706644357209
25,-0.00675675,-0.00665775,0.009485742228471107,2.321171243928031,2.2871614088521626,5.0,5.0,2.0,2.5,2.5,54.0,4.487310441801889e-11,4.1629629629629624e-11,7.791265061077411
26,-0.00933075,-0.00645975,0.011348623952929272,2.319947394317916,1.6061174268354803,5.0,3.0,2.0,1.5,2.5,38.0,6.090846264058331e-11,5.915789473684212e-11,2.9591450330144795
27,-0.00645975,-0.00933075,0.011348623952929272,1.6061174268354803,2.319947394317916,3.0,5.0,2.0,2.5,1.5,38.0,6.090846264058331e-11,5.915789473684212e-11,2.9591450330144795
28,-0.00566775,0.00591525,0.008192287386621639,2.5521484884058525,-2.6635960206506497,5.0,-5.0,2.0,-2.5,2.5,54.0,4.001943878620394e-11,4.1629629629629624e-11,3.867896154136432
