 ,X,Y,r,u,v,h,k,l,v_rounded,u_rounded,n,lambda_exp,lambda_the,lambda_error
1,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,
2,-0.00339075,0.00977625,0.01034757216089842,0.9946551667914273,-2.86780139330375,1.0,-3.0,1.0,-3.0,1.0,11.0,1.0604252039672797e-10,1.021818181818182e-10,3.778267292171486
3,7.425e-05,0.01046925,0.0104695132945615,-0.021325636060820576,-3.006914684575701,0.0,-3.0,1.0,-3.0,0.0,10.0,1.1216475285451969e-10,1.124e-10,0.20929461341664268
4,0.00284625,0.00878625,0.009235763537737418,-1.0267929569129937,-3.169665214818372,-1.0,-3.0,1.0,-3.0,-1.0,11.0,9.742218783135128e-11,1.021818181818182e-10,4.658001232663347
5,0.00730125,0.00749925,0.010466470375680619,-2.0981189435358414,-2.155017084377491,-2.0,-2.0,1.0,-2.0,-2.0,9.0,1.182072486809842e-10,1.2488888888888888e-10,5.350067782130077
6,0.00868725,0.00294525,0.00917293901238856,-3.1734626169204283,-1.07590328038043,-3.0,-1.0,1.0,-1.0,-3.0,11.0,9.691356446235856e-11,1.021818181818182e-10,5.155764316197155
7,0.01017225,-2.475e-05,0.01017228010944449,-3.0775068285107503,0.007487851164259732,-3.0,0.0,1.0,0.0,-3.0,10.0,1.0984241367060238e-10,1.124e-10,2.2754326774000173
8,0.00947925,-0.00319275,0.010002491345909777,-2.956630731324488,0.9958364604199972,-3.0,1.0,1.0,1.0,-3.0,11.0,1.0344326289081194e-10,1.021818181818182e-10,1.2345099465241245
9,0.00888525,-0.00873675,0.01246107812851681,-1.8735670753462998,1.8422539765939938,-2.0,2.0,1.0,2.0,-2.0,9.0,1.33265391394851e-10,1.2488888888888888e-10,6.707163928261483
10,0.00393525,-0.01131075,0.011975777975772596,-0.8896568647002011,2.5570640702389427,-1.0,5.0,1.0,2.5,-1.0,27.0,7.494802760215964e-11,4.1629629629629624e-11,80.03529762084612
11,7.425e-05,-0.01368675,0.013686951399964857,-0.013309117094676437,2.4533139177853567,0.0,5.0,1.0,2.5,0.0,26.0,8.320401732282243e-11,4.323076923076924e-11,92.46480875385967
12,-0.00408375,-0.01249875,0.0131489834445481,0.7843320793212293,2.400531515498308,1.0,5.0,1.0,2.5,1.0,27.0,7.963850495446238e-11,4.1629629629629624e-11,91.30245852050575
13,-0.01091475,-0.01081575,0.015365943369184986,1.6081115496104659,1.5935255038090104,3.0,3.0,2.0,1.5,1.5,22.0,9.68254776009399e-11,1.0218181818181817e-10,5.241970319364854
14,-0.00655875,-0.00962775,0.01164949662539116,1.55681486107667,2.285286720599338,3.0,5.0,2.0,2.5,1.5,38.0,6.200999205924456e-11,5.915789473684212e-11,4.821160954239004
15,-0.00695475,-0.00715275,0.009976491373473943,2.1794911922639804,2.241540763573987,2.0,2.0,1.0,2.0,2.0,9.0,1.1414127724819925e-10,1.2488888888888888e-10,8.60573885820344
16,-0.00982575,-0.00655875,0.011813660085892094,2.2753393367593597,1.518803335620228,5.0,3.0,2.0,1.5,2.5,38.0,6.260022675165654e-11,5.915789473684212e-11,5.818888637141815
17,-0.01269675,-0.00418275,0.01336797883470048,2.3700156786351414,0.7807653990045591,5.0,1.0,2.0,1.0,2.5,30.0,7.633779464183946e-11,7.493333333333334e-11,1.8742811056576345
18,-0.01378575,-2.475e-05,0.013785772217217284,2.4407800412183662,0.004382010845993477,5.0,0.0,2.0,0.0,2.5,29.0,7.913033448945187e-11,7.751724137931036e-11,2.0809475175313015
19,-0.01180575,0.00373725,0.012383164806502416,2.5168345998135195,-0.7967338041338397,5.0,-1.0,2.0,-1.0,2.5,30.0,7.269377112220466e-11,7.493333333333334e-11,2.9887396055987687
20,-0.00913275,0.00918225,0.012950707997055605,1.8008104461703287,-1.810570936393474,2.0,-2.0,1.0,-2.0,2.0,9.0,1.3661701660263962e-10,1.2488888888888888e-10,9.39084959286091
21,-0.00744975,0.01522125,0.01694654025531465,0.9333801523386797,-1.9070724042800264,1.0,-2.0,1.0,-2.0,1.0,6.0,1.9551894491842204e-10,1.8733333333333338e-10,4.3695435507590705
22,-2.475e-05,0.01858725,0.01858726647802199,0.002669942674032989,-2.005126948198775,0.0,-2.0,1.0,-2.0,0.0,5.0,2.2433965159909976e-10,2.248e-10,0.20478131712643657
23,0.00690525,0.01334025,0.015021476213242159,-1.0568197901568612,-2.0416697738155847,-1.0,-2.0,1.0,-2.0,-1.0,6.0,1.830325157787336e-10,1.8733333333333338e-10,2.2958100825265753
24,0.01314225,0.00670725,0.014754861491217054,-2.072987757422069,-1.0579655033171012,-2.0,-1.0,1.0,-1.0,-2.0,6.0,1.81150377433499e-10,1.8733333333333338e-10,3.3005102668155
25,0.01868625,7.425e-05,0.01868639751597402,-1.9987173095822144,-0.007941923084432638,-2.0,0.0,1.0,0.0,-2.0,5.0,2.2491397124421063e-10,2.248e-10,0.05069895205099524
26,0.01492425,-0.00725175,0.01659280314247716,-1.9357176426811828,0.9405725859130789,-2.0,1.0,1.0,1.0,-2.0,6.0,1.9336226175775844e-10,1.8733333333333338e-10,3.2182891945329493
27,0.00868725,-0.01635975,0.018523221442961806,-0.9423471251505363,1.7746195148846282,-1.0,2.0,1.0,2.0,-1.0,6.0,2.0445234682985421e-10,1.8733333333333338e-10,9.138263432306491
28,-0.00586575,0.00561825,0.00812229992828386,2.683888544166377,-2.5706443017964875,5.0,-5.0,2.0,-2.5,2.5,54.0,3.974388815358096e-11,4.1629629629629624e-11,4.529806036771698
