 ,Area,Mean,Min,Max,X,Y
1,0.000,65535,65535,65535,27274.500,26185.500
2,0.000,65535,65535,65535,12603.128,34046.695
3,0.000,65535,65535,65535,15621.111,38255.986
4,0.000,65535,65535,65535,20942.292,39526.717
5,0.000,65535,65535,65535,27534.203,42862.381
6,0.000,65535,65535,65535,33887.850,39209.033
7,0.000,65535,65535,65535,38891.350,37779.461
8,0.000,65322,65322,65322,41671.072,33411.328
9,0.000,65535,65535,65535,47945.300,26581.156
10,0.000,65535,65535,65535,45165.578,17686.047
11,0.000,65535,65535,65535,43418.325,10697.033
12,0.000,65535,65535,65535,37382.358,6567.161
13,0.000,65535,65535,65535,27375.361,213.512
14,0.000,65535,65535,65535,17288.945,6170.058
15,0.000,65535,65535,65535,10935.294,10141.088
16,0.000,65321,65321,65321,8870.358,17288.945
17,0.000,65535,65535,65535,6249.478,26660.575
18,0.000,58750,58750,58750,1484.242,35555.683
19,0.000,47066,47066,47066,6726.002,48024.719
20,0.000,65535,65535,65535,20148.086,48818.925
21,0.000,65535,65535,65535,34761.478,48580.664
22,0.000,62428,62428,62428,52472.272,34920.319
23,0.000,47712,47712,47712,40003.239,26263.472
24,0.000,45882,45882,45882,14270.960,26342.892
