 ,Area,Mean,Min,Max,X,Y
1,0.000,65535,65535,65535,32076.000,27274.500
2,0.000,31732,31732,31732,31902.336,13000.231
3,0.000,32140,32140,32140,27931.306,15303.428
4,0.000,38524,38524,38524,22689.544,18083.150
5,0.000,20375,20375,20375,16733.000,19830.403
6,0.000,28673,28673,28673,22292.442,23960.275
7,0.000,35814,35814,35814,21736.497,27375.361
8,0.000,24481,24481,24481,23324.911,29996.242
9,0.000,47734,47734,47734,24754.480,34443.794
10,0.000,25170,25170,25170,29043.194,35555.683
11,0.000,29158,29158,29158,31822.917,37144.097
12,0.000,27483,27483,27483,34999.739,36508.733
13,0.000,39863,39863,39863,40718.022,36191.050
14,0.000,27469,27469,27469,43338.906,31266.972
15,0.000,30988,30988,30988,45800.945,27375.361
16,0.000,28714,28714,28714,44927.317,23086.649
17,0.000,23541,23541,23541,43338.906,16018.214
18,0.000,25422,25422,25422,36349.889,14032.699
19,0.000,14355,14355,14355,13635.596,27375.361
20,0.000,33651,33651,33651,19036.197,33729.011
21,0.000,33653,33653,33653,25389.844,39923.820
22,0.000,24024,24024,24024,38891.350,41988.756
