 ,Area,Mean,Min,Max,X,Y
1,0.000,65535,65535,65535,33759.000,28710.000
2,0.000,26867,26867,26867,26408.250,43832.250
3,0.000,22166,22166,22166,33932.250,47000.250
4,0.000,30049,30049,30049,40268.250,41654.250
5,0.000,29818,29818,29818,46505.250,35219.250
6,0.000,26677,26677,26677,48188.250,21755.250
7,0.000,60281,60281,60281,42644.250,20072.250
8,0.000,40019,40019,40019,37595.250,17597.250
9,0.000,36804,36804,36804,33833.250,15320.250
10,0.000,25227,25227,25227,29675.250,16013.250
11,0.000,26532,26532,26532,22745.250,17597.250
12,0.000,27585,27585,27585,20963.250,24428.250
13,0.000,25615,25615,25615,19775.250,28784.250
14,0.000,38381,38381,38381,22052.250,32645.250
15,0.000,43962,43962,43962,24626.250,37892.250
16,0.000,22531,22531,22531,30467.250,38387.250
17,0.000,30732,30732,30732,33734.250,38981.250
18,0.000,26070,26070,26070,36704.250,37397.250
19,0.000,48543,48543,48543,41060.250,36011.250
20,0.000,23913,23913,23913,42347.250,31556.250
21,0.000,33338,33338,33338,43733.250,28685.250
22,0.000,30492,30492,30492,43040.250,25616.250
23,0.000,7619,7619,7619,51257.250,28883.250
24,0.000,14438,14438,14438,42248.250,12449.250
25,0.000,9716,9716,9716,27299.250,18884.250
26,0.000,1635,1635,1635,26705.250,21557.250
27,0.000,9928,9928,9928,23933.250,22151.250
28,0.000,14046,14046,14046,27893.250,34427.250
29,0.000,9398,9398,9398,39179.250,23438.250
