 ,Area,Mean,Min,Max,X,Y
1,0.000,4232,4232,4232,27720.000,26334.000
2,0.000,45379,45379,45379,6212.250,26507.250
3,0.000,58705,58705,58705,20171.250,48881.250
4,0.000,61381,61381,61381,34823.250,48485.250
5,0.000,39322,39322,39322,27695.250,42743.250
6,0.000,23878,23878,23878,52445.250,35021.250
7,0.000,43992,43992,43992,48089.250,26606.250
8,0.000,36950,36950,36950,45218.250,17597.250
9,0.000,30767,30767,30767,43535.250,10568.250
10,0.000,35908,35908,35908,37694.250,6608.250
11,0.000,46771,46771,46771,27497.250,272.250
12,0.000,29765,29765,29765,17300.250,6113.250
13,0.000,63640,63640,63640,10964.250,10073.250
14,0.000,35070,35070,35070,8984.250,17201.250
15,0.000,27272,27272,27272,1559.250,35615.250
