 ,Area,Mean,Min,Max,X,Y
1,0.000,65535,65535,65535,30393.000,26433.000
2,0.000,12630,12630,12630,27002.250,36209.250
3,0.000,12299,12299,12299,30467.250,36902.250
4,0.000,9689,9689,9689,33239.250,35219.250
5,0.000,17879,17879,17879,37694.250,33932.250
6,0.000,10100,10100,10100,39080.250,29378.250
7,0.000,13477,13477,13477,40565.250,26408.250
8,0.000,10846,10846,10846,39872.250,23240.250
9,0.000,14904,14904,14904,39278.250,17696.250
10,0.000,13352,13352,13352,34328.250,15122.250
11,0.000,8902,8902,8902,30467.250,12746.250
12,0.000,10032,10032,10032,26309.250,13934.250
13,0.000,9457,9457,9457,19478.250,15617.250
14,0.000,6117,6117,6117,23834.250,16805.250
15,0.000,2242,2242,2242,23438.250,19280.250
16,0.000,6297,6297,6297,20567.250,19874.250
17,0.000,9937,9937,9937,17696.250,22250.250
18,0.000,10166,10166,10166,16607.250,26408.250
19,0.000,11287,11287,11287,18587.250,30170.250
20,0.000,15189,15189,15189,21260.250,35615.250
21,0.000,8972,8972,8972,22943.250,41654.250
22,0.000,9355,9355,9355,30368.250,45020.250
23,0.000,10793,10793,10793,37298.250,39773.250
24,0.000,10608,10608,10608,43535.250,33140.250
25,0.000,11292,11292,11292,49079.250,26507.250
26,0.000,6440,6440,6440,45317.250,19181.250
27,0.000,6353,6353,6353,39080.250,10073.250
28,0.000,5161,5161,5161,24527.250,32051.250
