 ,Area,Mean,Min,Max,X,Y
1,0.000,65535,65535,65535,30294.000,26433.000
2,0.000,12469,12469,12469,27101.250,36308.250
3,0.000,28955,28955,28955,30467.250,37001.250
4,0.000,27748,27748,27748,33338.250,35219.250
5,0.000,42681,42681,42681,37793.250,33932.250
6,0.000,18468,18468,18468,39080.250,29279.250
7,0.000,24118,24118,24118,40565.250,26507.250
8,0.000,23061,23061,23061,39872.250,23240.250
9,0.000,40993,40993,40993,39377.250,17696.250
10,0.000,29213,29213,29213,34328.250,15122.250
11,0.000,26453,26453,26453,30566.250,12944.250
12,0.000,16800,16800,16800,26309.250,13934.250
13,0.000,13614,13614,13614,19478.250,15518.250
14,0.000,11967,11967,11967,17696.250,22151.250
15,0.000,17701,17701,17701,16508.250,26606.250
16,0.000,18748,18748,18748,18686.250,30368.250
17,0.000,31058,31058,31058,21260.250,35714.250
18,0.000,3132,3132,3132,24527.250,32150.250
19,0.000,11860,11860,11860,22943.250,41852.250
20,0.000,16090,16090,16090,30467.250,45218.250
21,0.000,16485,16485,16485,37199.250,39971.250
22,0.000,12873,12873,12873,43634.250,33239.250
23,0.000,10964,10964,10964,45119.250,19478.250
