 ,Area,Mean,Min,Max,X,Y
1,0.000,54696,54696,54696,27522.000,26136.000
2,0.000,65535,65535,65535,47990.250,26507.250
3,0.000,65535,65535,65535,45218.250,17597.250
4,0.000,65535,65535,65535,43436.250,10568.250
5,0.000,65535,65535,65535,37694.250,6608.250
6,0.000,40242,40242,40242,31358.250,6905.250
7,0.000,43557,43557,43557,23537.250,6905.250
8,0.000,34098,34098,34098,27596.250,9479.250
9,0.000,65281,65281,65281,17201.250,6113.250
10,0.000,65535,65535,65535,10964.250,10172.250
11,0.000,65535,65535,65535,9083.250,17300.250
12,0.000,65535,65535,65535,6113.250,26606.250
13,0.000,65489,65489,65489,1460.250,35516.250
14,0.000,45534,45534,45534,6707.250,48089.250
15,0.000,64243,64243,64243,12647.250,34031.250
16,0.000,65535,65535,65535,15815.250,38288.250
17,0.000,49186,49186,49186,20963.250,39575.250
18,0.000,65535,65535,65535,20171.250,48782.250
19,0.000,65535,65535,65535,34922.250,48386.250
20,0.000,65535,65535,65535,27596.250,42941.250
21,0.000,61187,61187,61187,33932.250,39080.250
22,0.000,65471,65471,65471,38981.250,37793.250
23,0.000,65535,65535,65535,41753.250,33437.250
24,0.000,59523,59523,59523,52346.250,35120.250
25,0.000,52333,52333,52333,39872.250,26408.250
26,0.000,45316,45316,45316,14231.250,26309.250
27,0.000,65535,65535,65535,27398.250,173.250
