 ,Area,Mean,Min,Max,X,Y
1,0.000,65535,65535,65535,30294.000,26334.000
2,0.000,38876,38876,38876,39050.192,29360.878
3,0.000,44783,44783,44783,40559.183,26422.314
4,0.000,36873,36873,36873,39844.397,23245.489
5,0.000,52884,52884,52884,39288.453,17527.206
6,0.000,47497,47497,47497,34205.533,15065.167
7,0.000,47588,47588,47588,30472.767,13000.231
8,0.000,34670,34670,34670,26342.895,13953.278
9,0.000,41025,41025,41025,19592.142,15462.269
10,0.000,27961,27961,27961,17686.047,22133.600
11,0.000,35529,35529,35529,16653.579,26422.314
12,0.000,36724,36724,36724,18639.094,30472.767
13,0.000,57567,57567,57567,21101.133,35714.528
14,0.000,44209,44209,44209,27057.678,36270.469
15,0.000,46769,46769,46769,30472.767,36985.256
16,0.000,39828,39828,39828,33331.905,35317.422
17,0.000,48220,48220,48220,37779.461,33808.431
18,0.000,32531,32531,32531,23007.228,41671.072
19,0.000,25577,25577,25577,30631.605,45165.578
20,0.000,37161,37161,37161,37223.517,39764.978
21,0.000,29718,29718,29718,43656.589,33093.644
22,0.000,26193,26193,26193,45245.000,19274.458
