 ,Area,Mean,Min,Max,X,Y
1,0.000,65535,65535,65535,30294.000,26482.500
2,0.000,58297,58297,58297,39367.872,17527.206
3,0.000,40872,40872,40872,34126.114,15065.167
4,0.000,38808,38808,38808,30393.344,12920.810
5,0.000,33837,33837,33837,26263.472,13873.857
6,0.000,19709,19709,19709,19512.721,15621.111
7,0.000,14117,14117,14117,17765.467,22054.181
8,0.000,22837,22837,22837,16574.158,26422.314
9,0.000,27364,27364,27364,18718.514,30313.922
10,0.000,59777,59777,59777,21180.553,35635.106
11,0.000,33938,33938,33938,27137.100,36191.050
12,0.000,46611,46611,46611,30313.922,36905.833
13,0.000,27977,27977,27977,33411.328,35158.583
14,0.000,62791,62791,62791,37779.461,33887.850
15,0.000,19937,19937,19937,39050.192,29202.036
16,0.000,35209,35209,35209,40559.183,26422.314
17,0.000,23833,23833,23833,39923.817,23324.911
18,0.000,28542,28542,28542,43577.167,33173.067
19,0.000,17127,17127,17127,37144.097,39685.555
