 ,Area,Mean,Min,Max,X,Y
1,0.000,65535,65535,65535,27472.500,26086.500
2,0.000,50436,50436,50436,12603.128,33808.431
3,0.000,61727,61727,61727,15700.532,38097.144
4,0.000,57677,57677,57677,20942.292,39685.555
5,0.000,65535,65535,65535,27454.783,42862.381
6,0.000,53469,53469,53469,20068.665,48898.347
7,0.000,65535,65535,65535,34840.900,48501.244
8,0.000,53009,53009,53009,33967.272,39209.033
9,0.000,59735,59735,59735,38891.350,37779.461
10,0.000,57443,57443,57443,41909.333,33411.328
11,0.000,63700,63700,63700,47945.300,26501.733
12,0.000,54857,54857,54857,45165.578,17686.047
13,0.000,56973,56973,56973,43497.744,10538.192
14,0.000,53296,53296,53296,37461.778,6646.581
15,0.000,58726,58726,58726,27375.361,134.091
16,0.000,62057,62057,62057,17209.522,6328.899
17,0.000,55113,55113,55113,10935.294,10220.509
18,0.000,57342,57342,57342,8949.779,17368.364
19,0.000,62435,62435,62435,6011.217,26660.578
20,0.000,42066,42066,42066,1325.400,35476.264
21,0.000,36096,36096,36096,6646.582,48104.142
22,0.000,40545,40545,40545,52551.694,35079.161
23,0.000,31907,31907,31907,40003.239,26263.472
24,0.000,34847,34847,34847,23483.751,6884.843
25,0.000,40040,40040,40040,31266.972,7043.685
26,0.000,36547,36547,36547,27534.203,9505.724
27,0.000,29993,29993,29993,27295.942,35873.367
