 ,Area,Mean,Min,Max,X,Y
1,0.000,65535,65535,65535,27423.000,26136.000
2,0.000,18710,18710,18710,3935.250,26309.250
3,0.000,30147,30147,30147,1262.250,39377.250
4,0.000,33844,33844,33844,6608.250,47099.250
5,0.000,38345,38345,38345,15716.250,49574.250
6,0.000,64049,64049,64049,27200.250,55613.250
7,0.000,19383,19383,19383,27200.250,43139.250
8,0.000,36890,36890,36890,38783.250,49277.250
9,0.000,33746,33746,33746,47297.250,47099.250
10,0.000,34145,34145,34145,52643.250,39377.250
11,0.000,22650,22650,22650,49871.250,26606.250
